activity,x,y,z,alpha,beta,gamma,ts
string,float,float,float,float,float,float,datetime
S,,,,,,T
Jacks_in_pocket,-0.462679479958,75.9650276782,-14.9422137301,105.789139073,-97.5804401435,61.6096928419,2013-06-22T03:13:31
Jacks_in_pocket,3.12488196972,20.3975512658,-0.444722958374,118.864771258,-149.769615063,29.762139497,2013-06-22T03:13:31
Jacks_in_pocket,-0.0107739074707,12.251129895,3.37073658923,96.9449320224,-85.1465520425,29.3564774867,2013-06-22T03:13:31
Jacks_in_pocket,-1.85550635969,-2.73268191986,1.72876338237,100.966882085,8.30338071926,16.0159415376,2013-06-22T03:13:31
Jacks_in_pocket,4.74770196516,-2.06903914719,2.5390508606,-43.1049072104,-68.7805581874,37.0314688495,2013-06-22T03:13:31
Jacks_in_pocket,2.3388357833,-5.41598343048,1.77530067714,-132.844624866,-121.438536801,88.733562489,2013-06-22T03:13:31
Jacks_in_pocket,-1.15310737457,0.632967063904,1.18632692261,-14.0607956188,-58.9906363141,25.3622067657,2013-06-22T03:13:31
Jacks_in_pocket,-0.596904401398,3.35307942505,0.158166947174,-9.30096314471,-20.471825471,34.3460092226,2013-06-22T03:13:32
Jacks_in_pocket,-1.22538233719,-0.0465372947693,0.678606533051,-36.2128365265,-9.04540307918,-10.5280023602,2013-06-22T03:13:32
Jacks_in_pocket,0.800561326245,1.38968442612,-1.65080204468,-42.9882236737,58.2488914306,-16.4141005851,2013-06-22T03:13:32
Jacks_in_pocket,14.9875533395,25.6664403473,0.833930073492,-99.0717026657,-350.10702742,78.395886765,2013-06-22T03:13:32
Jacks_in_pocket,7.88664990616,20.656723011,10.8192476646,27.1735763487,42.7334098064,31.4151887101,2013-06-22T03:13:32
Jacks_in_pocket,4.51082571147,37.9635084021,6.52479792821,120.334546005,36.3924056149,-44.5758601652,2013-06-22T03:13:32
Jacks_in_pocket,4.3022307457,17.5958858261,2.76335777476,106.989872669,-13.7032966874,-0.294158825234,2013-06-22T03:13:32
Jacks_in_pocket,1.67085362971,6.06002367706,2.53979912168,25.1789681582,4.14373190859,-7.85718409758,2013-06-22T03:13:32
Jacks_in_pocket,-1.74402627182,-0.818068779755,0.751330408478,-10.3567473196,137.548849355,-28.3194088839,2013-06-22T03:13:32
Jacks_in_pocket,-0.0718260498047,-2.06604697963,-1.15086310278,-9.49684784747,246.309161698,-46.8870254256,2013-06-22T03:13:32
Jacks_in_pocket,0.206799168396,-0.268000948334,-1.68641579437,-7.81048609422,92.7090740954,-55.1379622448,2013-06-22T03:13:32
Jacks_in_pocket,1.36978267962,0.743100340271,0.102801033783,2.20146367115,55.4532198713,-64.1672913276,2013-06-22T03:13:32
Jacks_in_pocket,1.68701434479,0.282815071106,-0.205602067566,0.176903020081,84.1816443883,-52.2024528075,2013-06-22T03:13:32
Jacks_in_pocket,0.65212075025,-0.992845500946,1.12542441788,-38.0356296009,-44.7050087971,-21.3969387355,2013-06-22T03:13:32
Jacks_in_pocket,3.79855071757,35.5586824721,3.87696067581,133.179304135,254.030854479,139.19223385,2013-06-22T03:13:32
Jacks_in_pocket,-6.23899010503,42.1328621247,12.5013239685,104.3588838,-11.7571316136,-21.9964073635,2013-06-22T03:13:32
Jacks_in_pocket,-1.2508206933,18.4708168953,1.40285253525,147.155223555,-85.9821232347,17.2424334842,2013-06-22T03:13:32
Jacks_in_pocket,0.436343252563,7.08878234904,5.87492196121,73.1871162021,-103.136723901,22.1153824287,2013-06-22T03:13:32
Jacks_in_pocket,0.0257376678467,-0.239120890808,0.451007737732,74.5318028647,67.0478621383,27.6530658737,2013-06-22T03:13:32
Jacks_in_pocket,4.13029728511,-3.10333426437,1.21670335617,-67.2077568668,-50.3872275827,42.765351186,2013-06-22T03:13:32
Jacks_in_pocket,0.856525643921,-4.91364999466,0.026186580658,-128.042031993,-108.648065014,58.8281461138,2013-06-22T03:13:33
Jacks_in_pocket,-1.94558812408,0.439485642242,0.217124163055,-18.7298967137,-86.5279578022,14.9805480387,2013-06-22T03:13:33
Jacks_in_pocket,0.926107129669,0.57071782074,0.00269347686768,-3.0181173737,-24.1736343218,11.7039935957,2013-06-22T03:13:33
Jacks_in_pocket,-1.71020802724,0.831236888885,1.83425774689,-32.6621251204,-3.66229535277,-7.95532879331,2013-06-22T03:13:33
Jacks_in_pocket,-0.225354231262,2.97240136108,3.73689973256,-46.6180047647,44.1399643225,-20.2010631119,2013-06-22T03:13:33
Jacks_in_pocket,12.146084151,23.9019143083,2.24127202911,-169.29276824,-405.353804824,54.6298952083,2013-06-22T03:13:33
Jacks_in_pocket,2.36547127677,28.9674453017,10.6673654968,18.1275047648,55.4529090976,-2.74680433062,2013-06-22T03:13:33
Jacks_in_pocket,5.4578818134,29.1179819001,6.95904669271,113.731105455,-24.6481343937,-36.0828068002,2013-06-22T03:13:33
